user_id,rec
15,"[1070820 1029743 1105917  976199  852856 1082185 1098248  901062 1106523
 1092303  854852 1127831  866211 1081177 1122358 1004906 1026118 5569471
 1041796  878996  998444  925862  865705 1082212 1059902 8090440  845307
 1133254  901666  857006  930118  952163  933637 7024990 1135476  979707
 1098844 1068719  872137  983584  986912 1022254 1006878 8203834  909714
 1070272  933835 1046545 5585510 6034857  899624  960732 1053754 1024306
  878285  996070  829001  965766  965267 1046587 5563693  964521 8177622
 1038985  882247  944137 5568197  856827  823775 6548453  965842 1135222
  934399  993638 5981072 1119405  941361 1127179 1055504 1008547  906923
  883932  999104 1062002  866871 1105488  961979  868548 1074754  908318
  871756 5578547  838186  885290  902172 1100972 1068292  948670 1042438
 5569230]"
16,"[ 1070820  1029743  1126899  1106523  1101010  1110218   930118   844179
  1044078   916122   986912  6034857   944486  1134810   957063  1119761
   894439   925862   866211   832678  1131438   887102   871756  1127758
   910673  1101706   999198   885290  1019643   957951   857503  1127831
  5569230   839656   823704   948670  6533936  1062128  1038985  7441210
  1115175   956486   961979   916990   946839  1131344   944534   823990
   971922  1070272  6534077  6533608   997796  1131488  1127716   982469
  1034176  1072523  1080853  1048257  1130858  6463775  1098284  1085983
   847573  9835509   824180   944836  1055425   947201   883932   917816
   849202   852856   972143 12731714  9707240  1082212   916993   951412
 10149640   910032   836445   874972  1132771  1115576  7168026  1105301
   995478  1050851   909268   891961  5569374   917033   926905  1130375
  8090541   906844  6602697  1016800]"
18,"[ 1115175   880150   865456  1072968   990797   995965  1006184   835278
   916122   831628  1040807   951412   854852  1104343   839243   819978
   976199   866211   909714  9835509   913210  1108094   883003   829852
   854405   834117  6034857 12810393 12946027  1127831 12301405   985999
  1101706   859427  1000237   878996 12810422   970747   825365   872137
   835098  1112238   892531  1057102  1080853   904997  7024990  1020581
  1029894  1126899  1106523   848319  9242918  1023720  9553288   832678
  7441210  1051211   844179   882247   999198  1105917  1062128   957736
   901062   995478   944137   938300   892314  1105488  1055504 12811532
   999858   825994   998119  5585701   857503   848029  1087102  1128240
  1043751   909268   880427   944836   897954   968072  1027168   868683
  5578547  1042438   825343 12301073  6602697   965842   860299  6602729
   919423   839656  1051468  5569230]"
19,"[ 1029743   899624  1106523  5569230  1025611   865456  8090537   871756
   841220  1042438   885863  1044078   844179   999270  1004906  1028995
  1068292   916122  1081177   866211  5568378  8065410  1068719   944534
 13189726   863447  1043751  1051211   832678  5569327   989069  1018740
   871061   845307 12811532   874972  8090521   854852   880150  1127831
   835098  1128240  5585510 12301109   937292  9836106   839419   865528
 12301405   823704  8090545 12262778  1071342 12810393   878996 12301100
  1046587  1042907  6534077   857503  6534480   861279  9245106  1087102
 12810422   999858   910673  5568197   993638   854405   893018   896862
 12301839  5568489  5569845  1000753   956486  1133254   995896   856827
  6442594   865174   952163  1046545   935317  1020581  1135222   965267
  1123842   850102   930666  8090509   883003   972143  5568729  1105488
   866755   824180   897954   908318]"
20,"[ 1126899  1075368  1068719   995628  9835509   944836  1002850  8090536
   839656 12301100  8293447  1006878  1055425   901062 12301839  5568197
  1006184  1098248 12301073  8273833   960732   996028  1044078  1013167
   823704 12301109   866211   999858  1102067   909268  1046587  6514160
   856827  1135222  1106523  1029743   965267  1059902   844179   852856
   912704  5592888  1133254  1041796  1020581  1022097   859154   995478
   865456  1074333   965766 12302069 10149640   833724   944137   836445
   906844  5591083   841220   866871  1115175   934639  8090541   880427
   835098 12811532  1067695  1105488  1097001  9677236  9707240   944534
  6602697  1127831  1062002  5591170 12810393   856942   859191  1042438
   823721   946839   860248  6533936   998206   948670  8090513   916990
  1000237  5568249  1127716   985999   908318  5569374   880150   997796
   878996   859427   902172   830503]"
21,"[ 1029743  1106523   999779  1044078  1094308  1038663  1042544   829001
   914318   861279   874972 12262778   859154  1070820  1126899   949023
   983584  1037840  1075368  1022254  1131344   940947  9707240   998206
 12648296  5569230   890695   952972   865528   829291  1132771  1021116
  8020001  1014948  1070272  1051211  1059902   899624   844179   893018
  1025611  5568378  5590613  5587656  5585510  1081177  1122358   907631
   839419  1035676   982469  1012587  1042438   916122  1076056  1051323
  1025535  5569471   910673  8090521   902094 12262978  1083787  1137346
   847573  1043751   948650  1093413   957063  1025581   838186  1103105
  1124695  1028995   995628  1022428  1068292   972143 12384775 13506200
  8090537   917033  1097001  1138292  9836106  1013928   926905  1044188
   850102   871756   863447   947858 12263692   854405   968072  1016800
  6463742 12262830  1070702  1000753]"
22,"[ 1082185  1070820   835098  1104349   976199   944836   995965   866211
   880150   827656  1048257  5569374   912704   841220  1022254   901062
   854852   999104   883003  1046756   823775  1043751  1127831   892314
   909268  1101706   878996  1006184 12810393   866871   882247   934399
   961979  7139529   852856   921504  1112238  1018740  1022097  6533608
  1099089   857006  1135476   824758  8020001   996070  1070497  1106523
  1126899  1098844   848319  1121393   986912  1092303   872137  1019643
   944137  1055425  1023720   965267   930118  1098248   899624  1071342
  1020581   951412  5568447  9835509  1024306  1137775   859427   839656
   823704  1028995  5569471  1131488 12811532   903800   938300   866755
  5578547   880427  5585510  1055504  7024990   823721   845307  1057102
   857503   960732  1115576   964521   998119  8177622   908318  1000237
   824180  1138443   907099  1115175]"
23,"[ 9835903  1075368  1034176   849202  1029743  1068719   916122  8065410
   865456  1081177   965766  1000237 12810422  1005274  1042438   912704
   866211  1131488   835278  1065538   934399  1006184   933067  9677236
   930666  1072968  1070272   859191   824758  1102416   998444  1022097
   995965  6442594   909714  1122358   839419   999270 10149640   999104
   835098  1050851  5592888  1002771  1048507  1071342   906923  1012587
  1070497  7139529   825994  1123842   907099  9553397 12171656  6552253
   852856  1028891   862799   892531  1014948   990797   880427  1051211
  1127831   896862  9553288   910473   885290   861279  1105301   857503
  6602697  8090537   838186   985999   968072  1070702 12731436   892314
  1123022  5568729   999858   854405  1082212   908318  8090532 12302069
   824180   972665   859427   897954  1044759   874972  1087102   860248
  9835509 12262830   999714  5568447]"
24,"[  983584   926905  1106523  1038663  1016800  1094308   969568   893018
  1028995   986912   871756  1101010   965766  1044078  5569230   865456
  5590613  1082185  1127831  6534035  1131438  7139529  1124695   944139
  5587656 12302069   902172  1037840  1076056   982790  1042438  1042544
  5568378   999714   904129  9707240   965267  1025535  1029743  1102416
  1075368  1121393  1089954   944486  1014948   839419 12648296  1083446
  1098284   907631  1134810   895295   906838  1059902  9836106  1021116
  1067695   957951  1012587  1042942  8020001  1062002   909714   896862
   941361   829291  1099089  1023720   859154   910032   883932  1046545
   899624   844179   894439   949294 12301100   849202  1137346   947858
   949965  1074754   838186   866211  5569374  5569471   995628   999858
  1138292  1013928  6534077   910473  1021324  5568489  5569845   998206
  1097001   850102   861279   917033]"
25,"[ 1041796   866211  1002850  1029743   845307  5568378 12301100   885863
  1106523   916122  1004906  1068719  8090521   913210   940947   844179
  1127831 12301109   834117  1006184  1067695  1097001  1105488   968072
   878996   838186  1082212  1042438   908318 12302069 12301405  1044078
  1112238  1046587  8090545  5569845   825994 13506200   957736 12384775
  1133254   857006   965267  1055503  1135222  1126899  1075368  9881593
  8020001  1122358   930118   986912  8090537  5569230   865456  1087102
  8273833   919423  6534480  1013167  7442008  6514160   830503  5582712
   944534   856827   999250 12811532   854405   998119   912704  1070702
   883003  9527159   835973   846417   971922   860299   966684  8293447
  1002771  1029894  6534077  5981072  1138443  1020581   952972 12301839
  1076056  8090440  1027168  1053754  8090509   866755  9245106   953561
  1137346   985999   827656  5568489]"
26,"[ 1022254  9296919   896862  1050851  1042438  1029743  1082185   901062
   916122  1132771   883003  1122358  1004906   834117  5585510  1127758
  1025611   871756   907631  1051323   861279  1043751   937292  1127831
   933067  1071342   838186  1123842   985999   930666   865528   871061
   854405   910673   823704   906838   839419   921504   904129   995896
  1023720   952163  1126899  1070820   999270  8065410   893018  1012587
  1042907   996070   913210  1131344   866211   880427   964521  1130858
   865174  1021116  7139529  1099089  1070497  9707240   999779  1127179
   910032  1074333   960732   839656  1062002  6464086   946839   957736
   836445   859154 12946027  1020581   981086  1094308  1038985  1051211
   857503 12811532  6602697   866755   957063  1105488   944139  1028995
  1128016   935317   944534  1042544   897954   885290 12301405   999714
  1018740   846823   878996 12810393]"
27,"[ 1102416  1076056   910473   944486   949965  1075368   892573   986912
   923670  1132771  1098284  1131438   971922  1137775   894439   838186
   968072  1106523  1037840  1110218   933835   852856   965267   948670
  5568378  1022097  1081177  1024306  1070272   835098   944139   930118
   912704 12301100  1021116  1124695  1050851   952972  1065538  8020001
  6464086  1019643   833724   941361  1087102   993638   931255   981086
  6391381  1112238  1127716   861279   999714   835530  5568447 12302069
   904129  5569327  7139529  5592888  1131488  1067695  1101010  1124432
  1123842   843464   844179   890695  1074333  1002771  1097001   865026
  7442008  1051211   910032   969568 12171656   946995   849202 12349795
   999858   825343  1042544   906844  6534035  1130375   845307  5568489
  1103105  1034176  1055503   926905  1016800 12301109  1135834  1027168
  6534077   885863 12301405 13506200]"
28,"[  951412   940947  6534030   916122  1075368 10344585  5582712  1069003
   892531  1112238  1035676  8177622   897954  1062128   968072   882604
  1079987  8090513   825994   912704   985999   834826  1044759  1072968
   904997  5592888  6442594  1031316  1126899  1029743   986912  9881593
   983584  1002771  1038663   824758   907099  1056509   995965   934399
   980823  1110218  1006878   931255  1014948  1050851  1051323  1070497
   890695   844179  1075214   999104  1115175  1051211  1102067  1022097
   933835  1006184  1048507   856252   957736   999198  5981072   960732
  1136719  1040807   993638  1070272  1122358  1005274   859427   902094
   865705   874972   998119  1070702   859191   908318  5569471  8090509
   824180  8090537  9677236   972665  1097001  1105488  6463742  1128016
   909268  5568729   878996  8090521   838186  5569374   957063   860248
  5568249  5567702  8090532  8090536]"
29,"[ 1065538  1029743  1044078  5568378   878715  1050851  1048507   910473
   999858   849202   993638  9553397   846823  1131344   825365   893018
   860248  5568729  1083446  1070820  1037840   986912  1075368  1102416
  1009187  9527159   948086   895295  9707240  5569230   957951   865456
   999270   887474  1098284  6463742  1070272  8065410   839419   846417
   896862  1083787  1035676  7139529  5587656   908318  1025611   844179
   890695   835098   999198  1012587  1072968   907631  1122358 12301100
  5590613   990797   839656  6442594   836445   892531  1072799   946839
   856252   998119   965766  1025535   916122  1123022  8090537 12301109
   823704  1119761   957063   835300 10344585  1072523  1044759  1093413
  1070702  1000237  5569845  1068292   902172  1034176   871611   896613
   854405   947858  5591170  5569471  1108094   863447  1013928  1042544
   819308  1128016   948670  1043494]"
30,"[ 1106523   909714  1127831   910473  1025535  1025581   936355   908318
  1042438   930118   957736  1051323   854405  1112238  1029743   995965
   825994   908283   844179   980823  1072968  1076056   946839   998119
 10149640   906838   890695   923670   894439   931255  8090440  7139529
  1038663   941361   859154  1099089   957951   861279  1002771   836445
  9527159  5587656   906923  1006878  1043787  1102067  1035676  5590613
   839656   944137   960732   933835  1070272  1044078   880150  1131344
   944836  8291322  1081177  1025611   892573  1012587  1050851  1014948
   839419 12171656   999779   866211   965267   951412   944534  5568249
   910673  1097001   824180   887102  1016800  1070702  1062128   891961
  1072523   849202   906844  1119761   885290   917816  1068292   846823
  5568447   850102   860299   859427  1000237   896613  5569374   871061
  5568729   834117  1013928   838186]"
31,"[ 1070820  1104343  1004906   866211   971922   901062  1062128   844179
  1138443   981086   859427  1126899  1040807  1055504   909714   896085
  5569230  5570383   819978  1029743   916122   854852  1132771  1044078
  5569471  1087102   883003   863447 10344585   914318  1128016  1042438
   897954  1018740  1009187 13189726   866755  1089954   952163  1023720
  9553397  1098844   983584   872137   940947  6034857   995965   930118
   899624 10149640  1101010   901776  1122358   865174  5568378   933835
   948650   934399  5569327  1123022  1071342   999104   835098   893018
  1075214  5568489  1042544  1018007  9245106   880427   953561  1093413
   880150   866871  1014948   995478  1135834   839419   835278   935317
  1070845  1043751  1137775   854405   845307  1028995  6463742  9296919
   957063   878996   999858  1076056   874972   985999   960732   827656
 12301109   885863   921504  5569845]"
32,"[ 901062 8293447 1105488  878996 1068719 6034857  944836  854852 1055504
 5569230 5569471  852856 1065538 1081177 1127831  916993  882247 8090532
  865705  908318  857503 1055425  892531 1112238 1119405 1099089 5568249
  887474  904129  839419  997796 1048507 1029894 9553397 5592888  980823
 1126899 1106523 1029743  854754  979707 1098844 5585510  965842  880427
 6552253  866211  880150  825365 1051211  957736  995478  835098  966684
 1102067 1101706 1012587 1023720 1075214 1013167  998444  999104 1131488
  909714 1006878  834826 6514160 1022097  913210  944137  834117 8273833
  960732 1070272 1041796 1121384  951412 8177622  912704  878715  990797
 1042438 6602729 1051468 9677236 1034176  860248 8090536 6602697 1105301
 9835509  991223 5569845  859427 1000237 1108094  871061  948670 5569374
  854405]"
33,"[  871756  5590613  1106523  1029743   983584   986912  1044078  5568378
  1059902  8090521  1025611  1038663  5569327  1074333  1042544   836445
   854405  8090537  1127758   893018   944534   865528   871061   847573
  1053754  1133254  1025535   865174  1126899  1022254  1051323  1012587
  1122358   899624  5587656  1099089  1042438   904129  1004906  5585510
   844179   839419   999779  7442008  5981072  1076056 12946027   965267
   895166   907631   890695  1046545  9527159  1041796  8090440  1094308
   859154   993638   861279  8090545  1135222   829001   865456  1131344
  5568197  1100972  1112238   854852  1021116  1044759  1013928  1097001
   956486  6534480  8090532   933067   857006   969568   883003   947858
  1137346  1025581   874972   863447   935317  1103105  9836106  8090509
  6602697  1000753  1093413  1067695   910673   850102   846823   878996
   972143  1068292  1022428  1083787]"
34,"[ 1044078  1029743  1000753   986912  1070702   919534   916122   834117
   993638   907631   909268   847573  1070820  9242918   948086   893018
  1127831   904129   862799  1083787   919423   999198  5563693  1100972
  1012587  1038663   904997   995965   829291   999270  7139529  1112238
   999250   957736   961979  1110218   940947   861279   913210  8065410
  1006184  9296919  5981072 12648296  5569327  1062002  1025535  1025611
   999104   908318   957951  1125278   856252  8090440   890695  1122358
   844179   965267  1020581  1103105  1115576  9833277   846823   827656
   921504   944139  5582712   970747  1082212   917816   934639 13506200
   859191   838186 12349795 12262830 12263692   848029   857006   897954
   985999 12384775 12301405  1124432 12262778 12262978   968072   874972
  1043494   892314   878996  1027168 12810393   831628   902094   948670
  1135258  1068292  1016800  1044759]"
35,"[ 1029743  1126899  1040807   983584  1056509   986912   899624   940947
  5568378  1041796  5569230  1076056   865456   839419  1074754  1115175
   998119 12301405  6534035  6534030   868548  1046545   819978   847573
  1128016   838186   993638   823990  1070820   872137  1051323  1006184
   933835  8090440  1044078  1022097   957951   844179   892531  1042438
   999779   883932  8177622   852856  5569327  5590613  1072968   865174
  1038663   856252   954966  7442008   846417   825994  1122358   999198
  7168026   912704  1053754   913210  1101010   829001   916122  7441210
  1025535   999250  5587656  1127831  5981072   866211  1137775   907631
   865528  1038985   839243  1135222  1112238  1094308 10344585   865705
   926905   957063   845307  5569374   824180  5568489  1018740   917816
   857503  1016800   914318  1115576  5569471  1027168  5569845   944139
   823721 12810391  1087102   848029]"
36,"[ 1029743   970747   909714   857503  1024306   865705  1105488   969568
   866871   878996   865174  1082185  1068719   866211  1044078   916122
  1062002   897954  1081177  9835509   982790  1127831  1138443   996028
   845307  1101010  1008547   882247  5568378 12301405   986912   839419
 12349795   926905  9242918   999714   948670  1018740   944486   868683
 12301100   825365  1079987  1053754  1127179   930118   954966   933637
   906923   935317  1046545   996070   854852  1122358  1131438  1133254
  1135222   965267   901062  6034857   904129  1055504   941361   903800
   901666   993638  1098248  1006184  1046587  5569327   852856   844179
  1012587  7024990   899624   893018   856827   829001   948086  1132771
   834826   971922   906838  9677236  1070845  1027168  1105301   831628
  5585701   857006  5568489   985999  1087102   866755  1016800  1074754
 12301109   885863   999858 13189726]"
37,"[  916990  1097001  1067695  1106523   979707   878996  1058404  1002771
   948670  1127716  1122358   834117  1070702  1127831  8090537   866211
   966684   909714  5574377  6391381  1062002  1022097   874972  1112238
  1076056   835973  1127179   857006  1126899  1037840  1075368   986912
  1102416  1131488  1019643  1062128   865174  1014948  5587656   965772
  7442008  1074333   941361  5981072   952972   993638  1125278  5568378
   951412   995478  1075214   949294  8020001  1051211   912704  8090440
  5592888  1006878  1021116  1041796  6442594   957736   913210   965267
  1070272   825994   865456   944486   919423   852856  1029894  6034857
   930118   944836  1132771  1124695  1135476  8291322  1034176  8090513
   860299  6602729 12262778   861279   908318   866871  1068292   968072
  1137346 12302069  6602697  1043494   995628  1105488  1022428  8090536
  8090521  1000753   850102  8090532]"
39,"[  857503  1126899   872137   835098  6602697  5568249  1026118   854852
   990797   995965   866211   916122   944836   965766  5568378  6034857
   909714   901062  1070820   854754   880427   865456  1055425  1081177
  5569471   951197 12731436  9677236  1127831   839656   999779  5591170
  1072799   944137  9835509   948650  8020001  6463742   906838  1042942
  1027168  1020581   868683  6602729   823704  1018007  1119761   861279
  1013167   998444  1000237   995478   985999   825749  1051323  5569374
   860299   970747  5585701   999858   823721   891961   848319  1092588
  6514160  1070272  7024990  1102067  1059902   882247  1058404   960732
   830503   951412   854405   902172 12301073   859427   963971   908318
  1115175  9245106   825365  1038663   839243  6534030  5568729  1135258
  8090532   996028   863447  1135476   944534   880150   896613  1123022
  1057102  1048257   938300  1055503]"
40,"[  944836   951412 12301109  8273833  1079987  1055504  6034857  5585510
   897954   913210  1128240   880150   878996   899624   916122   901062
   854852  1098248  5563693  1004906   834117   909714  1105488  9835509
  1062002   993638 12946027   934639   999858  1127831  6602729   834826
   996028 12811532  1044078   866211   965842  1127758   961979   995478
  1072523   835300   825749   830503 12301100  1068292   891961  6514160
  1008547  6548453   944137  1119761   866871  1127179   857006   997796
   930118  6442594  1020581   952163   866878   965267   933637   860299
   996070  1098844   854754   906923   908318  1029894  1080853   833724
  1101706   919423   999104  1099089   865174  1013167   904997  1051468
   901666   835098  8203834   957736  1026118   844179  1081177  1135476
   917816  1113111   944534  1013928   871061  6602697 12810393 12301073
   991223   948670   831628   985999]"
41,"[ 5568729  1126899   909714 12262830  5585510   913210   865705   861279
 12810393  6034857   968072  1070702  1029743   834117   852856  1000753
   874972   916122   952972 12811532   857503  5569471  1081177   866211
  1127831   882247   906838   985999   995478   839419  1044759 12262778
  6442594  1075368  9242918   854852  1122358   919423   965842   835973
   946839  1121384  1131488  1044078   880427   899624  1062002  1014948
  5981072   916993  5569327  1046756  1101706  1087102   951412   904997
  5592888   966684   908318  5569230   946995   839656   878715  5563693
   957736  1110218  1055504   906923  1020581   944137   865174  1070272
   859427  1123022  1000237 12301405   860248   871061   897954   847573
  1034176   902094 12263692   854405   849202   991223  1065538  6602697
   996028 12262978   892314  6602729 12810422  1108094  1016800   970747
   909268   887102   885863 12349795]"
42,"[  946839   839656  6602697   916122   857503  1070702   897954   968072
  1079987   985999  1125278  1044759   996028  1133254 12263692   831628
  1029743   848319  1075368  1110218  1012587   887474  8203834   904129
 12810422  1135258   848029   993638 12301405   865174   944836   904997
   944137  1034176   839419   849202  1050851 12810393   970747   847573
  1000753  1043494 12946027 12349795  1020581   866211 12384775   880427
   946995   835300  1123022  1124432  6442594 13189726   835278   902094
 12810391   874972  1075214   956486   893018  1025611   910673  1070272
   972143  1055425   861279 12810464 12811532 12262978   901062  1072799
   961979  1080853   882247   907631   930666   834117   866878  1101706
  1131488  7139529  1013167   825343   836445   910473   909714 12262778
 12262830   828106  6602729   934639  1068292   948650   917816  1130375
  1028995 13506200   896613   823990]"
43,"[ 1106523  1029743  1004906   863447  1042942   946839   871756   952163
  1072523  1082185  1070820  1022254   916122  1044078   983584  1068719
  1023720   999779  1012587   895166   854852  1105917 10149640   844179
   899624  1026118   893018   880150   854405   871611   948650   896613
   990797  1043751  1103105  1082212  1024306   965766   910673  1119761
  1127758   878285   834117   825343  5591083  6463775  1018007  1133254
  1051323  9296919   963971   866355   960732   828106  1128016   823990
  8090537   907631   825749   852856  7168026   999270  5569471   883003
  1025611  8090539   998444  1131344   831628   832678  1113111   917816
   839419  6463742   999714 12384775   982469  9527159   944534   956486
   902172   995896   947201   934639  8273833  8090532   908318  5569230
  8090521   836445   910032  5591170   819308   839656   823704  1100972
  1050851  1044759   868683  1068292]"
